Frequency_GHz,Mean_epsilon_r,Std_epsilon_r,Scale,Mode,GroupName
12.6915355989,3.60088566552917,0.00632311659178811,1,permittivity,MEGTRON6
23.3084472092,3.58378776233661,0.027414605613396,1,permittivity,MEGTRON6
33.8720692052,3.58256421438982,0.0273551413356968,1,permittivity,MEGTRON6
44.425308617,3.58347777358216,0.0272107231515402,1,permittivity,MEGTRON6
54.971258846,3.58524835428198,0.027196729842511,1,permittivity,MEGTRON6
65.4812857654,3.58982883671635,0.028578228598086,1,permittivity,MEGTRON6
75.9782175612,3.59267027172191,0.0310453277167528,1,permittivity,MEGTRON6
86.5899476077,3.58383906336204,0.0248406403962472,1,permittivity,MEGTRON6
96.6553848795,3.61150654327507,0.0237959116157949,1,permittivity,MEGTRON6
107.011470541429,3.59209853589706,0.0160727420490637,1,permittivity,MEGTRON6
